iter	Passed	Remaining
576	4127	3025
577	4135	3019
578	4142	3012
579	4149	3004
580	4156	2997
581	4162	2989
582	4169	2982
583	4176	2974
584	4183	2967
585	4191	2961
586	4197	2953
587	4205	2946
588	4212	2939
589	4218	2931
590	4226	2924
591	4233	2917
592	4240	2910
593	4246	2902
594	4253	2895
595	4261	2888
596	4267	2881
597	4274	2873
598	4282	2866
599	4289	2859
600	4296	2852
601	4303	2844
602	4310	2837
603	4317	2830
604	4325	2823
605	4332	2816
606	4339	2809
607	4346	2802
608	4352	2794
609	4359	2787
610	4366	2780
611	4373	2772
612	4380	2765
613	4387	2757
614	4393	2750
615	4400	2743
616	4407	2736
617	4413	2728
618	4420	2720
619	4427	2713
620	4434	2706
621	4440	2698
622	4447	2691
623	4453	2683
624	4461	2676
625	4468	2669
626	4476	2663
627	4484	2656
628	4490	2648
629	4497	2641
630	4504	2634
631	4511	2626
632	4518	2619
633	4526	2612
634	4533	2605
635	4540	2598
636	4546	2591
637	4554	2584
638	4561	2576
639	4568	2569
640	4576	2562
641	4582	2555
642	4588	2547
643	4595	2540
644	4603	2533
645	4609	2526
646	4616	2518
647	4623	2511
648	4630	2504
649	4637	2497
650	4644	2490
651	4652	2483
652	4660	2476
653	4667	2469
654	4674	2462
655	4681	2455
656	4688	2447
657	4695	2440
658	4702	2433
659	4708	2425
660	4715	2418
661	4721	2410
662	4727	2403
663	4734	2395
664	4741	2388
665	4748	2381
666	4755	2374
667	4762	2366
668	4769	2359
669	4775	2352
670	4782	2344
671	4789	2337
672	4795	2330
673	4801	2322
674	4807	2314
675	4813	2307
676	4820	2299
677	4827	2292
678	4834	2285
679	4840	2278
680	4847	2270
681	4855	2263
682	4862	2256
683	4869	2249
684	4875	2242
685	4884	2235
686	4891	2228
687	4898	2221
688	4905	2214
689	4913	2207
690	4921	2200
691	4928	2193
692	4936	2186
693	4944	2179
694	4951	2172
695	4957	2165
696	4964	2158
697	4973	2151
698	4980	2144
699	4988	2137
700	4994	2130
701	5002	2123
702	5009	2116
703	5016	2109
704	5023	2101
705	5030	2094
706	5037	2087
707	5045	2080
708	5053	2074
709	5061	2067
710	5067	2059
711	5074	2052
712	5082	2045
713	5089	2038
714	5095	2031
715	5102	2023
716	5108	2016
717	5115	2008
718	5121	2001
719	5127	1994
720	5134	1986
721	5141	1979
722	5147	1972
723	5153	1964
724	5159	1957
725	5166	1949
726	5173	1942
727	5179	1935
728	5185	1927
729	5192	1920
730	5199	1913
731	5205	1905
732	5212	1898
733	5218	1891
734	5225	1883
735	5232	1876
736	5238	1869
737	5245	1862
738	5252	1854
739	5258	1847
740	5265	1840
741	5272	1833
742	5279	1826
743	5285	1818
744	5292	1811
745	5298	1804
746	5305	1797
747	5313	1789
748	5319	1782
749	5327	1775
750	5335	1768
751	5342	1761
752	5349	1754
753	5356	1747
754	5364	1740
755	5371	1733
756	5378	1726
757	5385	1719
758	5392	1712
759	5399	1705
760	5407	1698
761	5413	1690
762	5420	1683
763	5427	1676
764	5434	1669
765	5442	1662
766	5450	1655
767	5457	1648
768	5464	1641
769	5471	1634
770	5477	1627
771	5486	1620
772	5493	1613
773	5500	1606
774	5507	1599
775	5515	1591
776	5522	1584
777	5529	1577
778	5536	1570
779	5543	1563
780	5550	1556
781	5558	1549
782	5566	1542
783	5573	1535
784	5580	1528
785	5586	1521
786	5593	1513
787	5599	1506
788	5606	1499
789	5613	1492
790	5620	1485
791	5627	1477
792	5633	1470
793	5641	1463
794	5648	1456
795	5655	1449
796	5662	1442
797	5669	1435
798	5676	1428
799	5684	1421
800	5691	1414
801	5699	1407
802	5706	1399
803	5714	1393
804	5721	1385
805	5728	1378
806	5735	1371
807	5742	1364
808	5749	1357
809	5756	1350
810	5764	1343
811	5771	1336
812	5778	1329
813	5785	1321
814	5791	1314
815	5798	1307
816	5805	1300
817	5812	1293
818	5818	1285
819	5825	1278
820	5832	1271
821	5839	1264
822	5846	1257
823	5854	1250
824	5861	1243
825	5869	1236
826	5875	1229
827	5883	1222
828	5890	1215
829	5898	1208
830	5904	1200
831	5911	1193
832	5918	1186
833	5926	1179
834	5934	1172
835	5941	1165
836	5948	1158
837	5955	1151
838	5961	1143
839	5968	1136
840	5976	1129
841	5983	1122
842	5990	1115
843	5997	1108
844	6004	1101
845	6012	1094
846	6019	1087
847	6025	1080
848	6033	1073
849	6039	1065
850	6045	1058
851	6052	1051
852	6059	1044
853	6065	1036
854	6071	1029
855	6077	1022
856	6084	1015
857	6090	1008
858	6098	1000
859	6104	993
860	6111	986
861	6118	979
862	6126	972
863	6132	965
864	6139	958
865	6146	951
866	6153	943
867	6160	936
868	6167	929
869	6174	922
870	6181	915
871	6188	908
872	6195	901
873	6203	894
874	6210	887
875	6217	880
876	6225	873
877	6232	866
878	6239	858
879	6246	851
880	6253	844
881	6260	837
882	6267	830
883	6274	823
884	6282	816
885	6288	809
886	6295	802
887	6303	794
888	6310	787
889	6317	780
890	6324	773
891	6332	766
892	6339	759
893	6346	752
894	6353	745
895	6360	738
896	6367	731
897	6373	723
898	6380	716
899	6387	709
900	6394	702
901	6401	695
902	6407	688
903	6414	681
904	6420	673
905	6427	666
906	6434	659
907	6442	652
908	6449	645
909	6455	638
910	6462	631
911	6470	624
912	6476	617
913	6484	610
914	6492	603
915	6499	596
916	6506	588
917	6513	581
918	6520	574
919	6527	567
920	6534	560
921	6541	553
922	6548	546
923	6556	539
924	6562	532
925	6569	525
926	6576	517
927	6584	510
928	6591	503
929	6598	496
930	6605	489
931	6612	482
932	6619	475
933	6626	468
934	6634	461
935	6641	454
936	6648	446
937	6654	439
938	6661	432
939	6668	425
940	6675	418
941	6682	411
942	6689	404
943	6696	397
944	6703	390
945	6710	383
946	6717	375
947	6724	368
948	6732	361
949	6740	354
950	6746	347
951	6753	340
952	6761	333
953	6768	326
954	6775	319
955	6782	312
956	6789	305
957	6796	297
958	6803	290
959	6810	283
960	6817	276
961	6825	269
962	6832	262
963	6840	255
964	6847	248
965	6854	241
966	6861	234
967	6868	227
968	6875	219
969	6882	212
970	6890	205
971	6897	198
972	6905	191
973	6912	184
974	6919	177
975	6926	170
976	6932	163
977	6939	156
978	6946	149
979	6953	141
980	6960	134
981	6967	127
982	6973	120
983	6980	113
984	6987	106
985	6994	99
986	7000	92
987	7008	85
988	7014	78
989	7022	70
990	7030	63
991	7038	56
992	7045	49
993	7053	42
994	7060	35
995	7068	28
996	7077	21
997	7085	14
998	7093	7
999	7101	0
